State,Avg_Salary_K
CA,123.51315789473684
IL,116.6625
DC,110.18181818181819
MA,107.49514563106796
NJ,104.55882352941177
MI,100.25
RI,100.0
NY,98.65277777777777
NC,98.45238095238095
MD,97.35714285714286
KY,97.0
VA,95.6219512195122
UT,94.15
PA,93.86363636363636
WA,93.19047619047619
TX,92.67857142857143
OR,92.125
IN,90.3
TN,89.26923076923077
OH,87.57142857142857
KS,87.0
CO,86.18181818181819
AZ,85.66666666666667
MN,85.5
MO,84.72222222222223
GA,80.66666666666667
IA,78.9
FL,77.625
NM,74.33333333333333
WI,73.3
CT,71.1
SC,60.5
AL,57.9375
LA,57.625
DE,56.5
ID,56.25
NE,54.25
