Company_Name,Job_Count
MassMutual,14
Reynolds American,14
Takeda Pharmaceuticals,14
Software Engineering Institute,11
PNNL,10
Liberty Mutual Insurance,10
AstraZeneca,9
MITRE,8
"Numeric, LLC",7
Advanced BioScience Laboratories,7
Fareportal,7
Pfizer,7
Novartis,7
Rochester Regional Health,7
Novetta,6
Q2 Solutions,6
Esri,6
Tapjoy,6
Beebe Healthcare,6
The Church of Jesus Christ of Latter-day Saints,6
Kronos Bio,6
Sunovion,5
Rubius Therapeutics,5
The Hanover Insurance Group,5
Teasdale Latin Foods,4
Central California Alliance for Health,4
ManTech,4
Pilot Flying J Travel Centers LLC,4
Palermo's Pizza,4
Texas Health Huguley Hospital,4
San Manuel Casino,4
Northrop Grumman,4
KnowBe4,4
SpringML,4
Maven Wave Partners,4
Genentech,4
Zest AI,4
Sartorius,4
Juniper Networks,4
GSK,4
h2o.ai,4
Nuna,4
Pinnacol Assurance,4
Autodesk,4
TransUnion,4
ClearEdge,3
PA Consulting,3
PennyMac,3
Infosys,3
HP Inc.,3
Vail Health,3
Agios Pharmaceuticals,3
The Buffalo Group,3
Western Digital,3
Cerus Corporation,3
Recursion Pharmaceuticals,3
Cboe Global Markets,3
Alignment Healthcare,3
MathWorks,3
Southwest Research Institute,3
HOVER,3
Moser Consulting,3
Arbella Insurance,3
Credit Sesame,3
Raytheon,3
Clarity Insights,3
TRANZACT,3
Crown Bioscience,3
Mcphail Associates,3
Eventbrite,3
NCSOFT,3
Equity Residential,3
Swiss Re,3
Visa Inc.,3
National Interstate,3
MetroStar Systems,3
Audentes Therapeutics,3
Affinity Solutions,3
Echo Global Logistics,3
Cogo Labs,2
Legal & General America,2
Catholic Health Initiatives,2
FLEETCOR,2
Applied Research Laboratories,2
Church & Dwight,2
Praetorian,2
Glassdoor,2
Veterans United Home Loans,2
RTI International,2
CK-12 Foundation,2
Strategic Employment Partners,2
"Emtec, Inc.",2
QK,2
Luminar Technologies,2
BRMi,2
IZEA,2
National Student Clearinghouse,2
Tower Health,2
P2 Energy Solutions,2
