ID,Job_Title,Salary_Estimate,FIELD4,Rating,Company_Name,Location,Headquarters,Size,Founded,Type_of_ownership,Industry,Sector,Revenue,Competitors,Hourly,Employer_provided,Lower_Salary,Upper_Salary,Avg_Salary_K,company_txt,Job_Location,Age,Python,spark,aws,excel,sql_,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,job_title_sim,seniority_by_title,Degree,State
0,Data Scientist,$53K-$91K (Glassdoor est.),,3.8,Tecolote Research,"Albuquerque, NM","Goleta, CA",501 - 1000,1973.0,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),"Novartis, Baxter, Pfizer",b'\x00',b'\x00',53,91,72.0,Tecolote Research,NM,48.0,0.0,0.0,0.0,0.0,b'\x00',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,na,M,NM
1,Healthcare Data Scientist,$63K-$112K (Glassdoor est.),,3.4,University of Maryland Medical System,"Linthicum, MD","Baltimore, MD",10000+,1984.0,Other Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),"Novartis, Baxter, Pfizer",b'\x00',b'\x00',63,112,87.5,University of Maryland Medical System,MD,37.0,0.0,0.0,0.0,0.0,b'\x00',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,na,M,MD
2,Data Scientist,$80K-$90K (Glassdoor est.),,4.8,KnowBe4,"Clearwater, FL","Clearwater, FL",501 - 1000,2010.0,Company - Private,Security Services,Business Services,$100 to $500 million (USD),"Novartis, Baxter, Pfizer",b'\x00',b'\x00',80,90,85.0,KnowBe4,FL,11.0,0.0,0.0,0.0,0.0,b'\x01',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,na,M,FL
3,Data Scientist,$56K-$97K (Glassdoor est.),,3.8,PNNL,"Richland, WA","Richland, WA",1001 - 5000,1965.0,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",b'\x00',b'\x00',56,97,76.5,PNNL,WA,56.0,0.0,0.0,0.0,0.0,b'\x00',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,na,na,WA
4,Data Scientist,$86K-$143K (Glassdoor est.),,2.9,Affinity Solutions,"New York, NY","New York, NY",51 - 200,1998.0,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"Commerce Signals, Cardlytics, Yodlee",b'\x00',b'\x00',86,143,114.5,Affinity Solutions,NY,23.0,0.0,0.0,0.0,0.0,b'\x01',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,na,na,NY
5,Data Scientist,$71K-$119K (Glassdoor est.),,3.4,CyrusOne,"Dallas, TX","Dallas, TX",201 - 500,2000.0,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),"Digital Realty, CoreSite, Equinix",b'\x00',b'\x00',71,119,95.0,CyrusOne,TX,21.0,0.0,0.0,0.0,0.0,b'\x01',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,na,na,TX
6,Data Scientist,$54K-$93K (Glassdoor est.),,4.1,ClearOne Advantage,"Baltimore, MD","Baltimore, MD",501 - 1000,2008.0,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,"Novartis, Baxter, Pfizer",b'\x00',b'\x00',54,93,73.5,ClearOne Advantage,MD,13.0,0.0,0.0,0.0,0.0,b'\x00',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,na,na,MD
7,Data Scientist,$86K-$142K (Glassdoor est.),,3.8,Logic20/20,"San Jose, CA","Seattle, WA",201 - 500,2005.0,Company - Private,Consulting,Business Services,$25 to $50 million (USD),"Novartis, Baxter, Pfizer",b'\x00',b'\x00',86,142,114.0,Logic20/20,CA,16.0,0.0,0.0,0.0,0.0,b'\x01',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,na,M,CA
8,Research Scientist,$38K-$84K (Glassdoor est.),,3.3,Rochester Regional Health,"Rochester, NY","Rochester, NY",10000+,2014.0,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),"Novartis, Baxter, Pfizer",b'\x00',b'\x00',38,84,61.0,Rochester Regional Health,NY,7.0,0.0,0.0,0.0,0.0,b'\x00',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,other scientist,na,P,NY
9,Data Scientist,$120K-$160K (Glassdoor est.),,4.6,<intent>,"New York, NY","New York, NY",51 - 200,2009.0,Company - Private,Internet,Information Technology,$100 to $500 million (USD),"Clicktripz, SmarterTravel",b'\x00',b'\x00',120,160,140.0,<intent>,NY,12.0,0.0,0.0,0.0,0.0,b'\x00',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data scientist,na,na,NY
