Job_Title,Avg_Salary_K
"Director II, Data Science - GRM Actuarial",254.0
Principal Machine Learning Scientist,232.5
Principal Data Scientist with over 10 years experience,225.0
Lead Data Engineer,205.0
"Director II, Data Science - GRS Predictive Analytics",194.5
Staff Machine Learning Engineer,181.0
"Director, Data Science",179.5
Principal Data Scientist,176.3
Sr. Scientist II,174.0
Senior Quantitative Analyst,173.0
Data Scientist - Alpha Insights,172.0
"Director, Precision Medicine Clinical Biomarker Scientist",172.0
Staff Data Scientist,171.5
"Sr. Data Scientist - Analytics, Personalized Healthcare (PHC)",169.0
Data Scientist - Sales,168.0
"Scientist 2, QC Viral Vector",168.0
"Senior Manager, Epidemiologic Data Scientist",167.5
Research Scientist / Principal Research Scientist - Multiphysical Systems,167.5
Senior Data Scientist - Algorithms,165.0
"Principal Data Engineer, Data Platform & Insights",162.5
Lead Big Data Engineer,162.0
Data Science Engineer - Mobile,162.0
"Sr. Scientist, Quantitative Translational Sciences",161.5
Director Data Science,161.5
Lead Data Scientist,161.25
Data Science Manager,158.83333333333334
Staff Data Engineer,158.66666666666666
"Sr. Data Scientist, Cyber-Security LT Contract",155.0
Senior Scientist (Neuroscience),154.5
"Associate Director, Platform and DevOps- Data Engineering and Aritifical Intelligence",154.5
Customer Data Scientist,153.5
Sr. Scientist - Digital & Image Analysis/Computational Pathology,151.5
Customer Data Scientist/Sales Engineer (Bay,150.5
Data Scientist Manager,147.0
Sr. Data Scientist II,147.0
PL Actuarial-Lead Data Scientist,146.5
Data Engineer I,146.0
Senior Scientist - Neuroscience,145.0
Data Scientist - Health Data Analytics,142.5
Data Scientist - Algorithms & Inference,142.5
"Data Scientist, Senior",142.0
Principal Data Scientist (Computational Chemistry),140.5
Senior Insurance Data Scientist,140.0
Principal Scientist - Immunologist,140.0
"Associate Director/Director, Safety Scientist",140.0
Senior Data Scientist Oncology,140.0
Senior Risk Data Scientist,139.5
Staff Data Scientist - Technology,139.0
Customer Data Scientist/Sales Engineer,137.5
Senior Data Scientist - R&D Oncology,137.0
Senior Data Scientist,134.86764705882354
"Scientist/Senior Scientist, Autoimmune",134.5
Senior Data & Machine Learning Scientist,133.0
"Principal Research Scientist/Team Lead, Medicinal Chemistry - Oncology",132.5
"Enterprise Architect, Data",129.5
R&D Sr Data Scientist,128.0
"Associate Scientist/Scientist, Process Analytical Technology - Small Molecule Analytical Chemistry",125.0
"VP, Data Science",124.5
Senior Research Scientist-Machine Learning,124.0
Senior Research Scientist - Embedded System Development for DevOps,124.0
Products Data Analyst II,123.5
Senior LiDAR Data Scientist,122.0
Senior Data Engineer,121.92857142857143
Senior Data Analyst/Scientist,121.5
Research Scientist or Senior Research Scientist - Computer Vision,121.0
Senior Data Scientist: Causal & Predictive analytics AI Innovation Lab,121.0
"Senior Data Scientist – Visualization, Novartis AI Innovation Lab",121.0
"Scientist, Pharmacometrics",120.5
"Research Scientist, Immunology - Cancer Biology",120.0
"Senior Scientist, Cell Pharmacology/Assay Development",120.0
"Risk and Analytics IT, Data Scientist",120.0
Machine Learning Research Scientist,120.0
Data Scientist II,119.5
Senior Data Scientist 4 Artificial Intelligence,119.0
"Scientist – Cancer Discovery, Molecular Assay",117.5
Senior Scientist - Regulatory Submissions,117.5
Sr. Data Engineer (ETL Developer),115.5
Sr. Data Engineer,115.0
Data Scientist / Machine Learning Expert,114.5
Data & Analytics Consultant (NYC),114.5
"Data Scientist, Office of Data Science",114.5
Data Scientist in Translational Medicine,114.5
Staff BI and Data Engineer,114.0
Data Scientist - Quantitative,112.5
Data Scientist SR,112.0
"Scientist, Bacteriology",111.5
"Principal, Data Science - Advanced Analytics",111.5
Machine Learning Engineer (NLP),111.0
Sr Software Engineer (Data Scientist),110.5
BI & Platform Analytics Manager,109.5
Managing Data Scientist/ML Engineer,107.5
"Research Scientist, Machine Learning Department",107.5
"Senior Health Data Analyst, Star Ratings",107.5
Software Engineer (Data Scientist/Software Engineer) - SISW - MG,107.0
Data Engineer 5 - Contract (Remote),107.0
"Data Scientist (Actuary, FSA or ASA)",107.0
Data Modeler,106.5
"Sr Expert Data Science, Advanced Visual Analytics (Associate level)",106.5
MongoDB Data Engineer II,106.5
Jr. Data Scientist,106.5
Senior Spark Engineer (Data Science),106.5
Data Scientist,106.1793893129771
Web Data Analyst,106.0
Geospatial Software Developer and Data Scientist,105.5
Sr. Data Scientist,105.0
Machine Learning Engineer,104.9
Big Data Engineer,104.5
Scientist Manufacturing Pharma - Kentucky BioProcessing,103.5
Data Analyst - Asset Management,103.5
Scientist Manufacturing - Kentucky BioProcessing,103.5
Data Scientist (Warehouse Automation),103.0
Sr. Data Engineer | Big Data SaaS Pipeline,103.0
